name,latitude,longitude,type,rating,comment,status
Rochdale Park,40.67421174,-73.77489894,E Wheelchair Child,N/A,"E Wheelchair Child, In Playground",Active
Flushing Meadows Corona Park,40.74555141,-73.8442975,A,N/A,"A, Under Tree",Active
P.O. Reinaldo Salgado Playground,40.68767016,-73.92593784,D,N/A,"D, Near Ballfield",Active
Shore Park and Parkway,40.63257454,-74.03898703,A,N/A,"A, Near Ballfield",Active
John V. Lindsay East River Park,40.71968568,-73.97439795,C,N/A,"C, Near Ballfield",Active
Star Spangled Playground,40.69162725,-73.95799116,E Wheelchair,N/A,"E Wheelchair, Under Tree",Active
Grand Playground,40.85615821,-73.90728171,F,N/A,"F, Out in Open, In Playground",Active
Gravesend Park,40.6238173,-73.98441249,C,N/A,"C, Out in Open, In Playground",Active
Bensonhurst Park,40.59775144,-74.00116937,A,N/A,"A, Near Ballfield, Out in Open",Active
Harold Schneiderman Playground,40.66464943,-73.85063917,C,N/A,"C, In Playground",Active
Prospect Park,40.66077246,-73.97385857,E High Low,N/A,"E High Low, Out in Open, Near Ballfield",Active
St. John's Recreation Center,40.67439662,-73.93542909,A,N/A,"A, Out in Open, Near Ballfield",Active
Rockaway Beach,40.57778749,-73.83594912,Trough,N/A,"Trough, Out in Open",Active
John Jay Park,40.76894503,-73.94981937,A,N/A,"A, Out in Open",Active
Fraser Square,40.61998303,-73.94119852,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Manhattan Beach Park,40.57593822,-73.94636617,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Jacob Joffe Fields,40.62594245,-73.91908515,A,N/A,"A, Out in Open, Near Ballfield",Active
Sunset Park,40.64759343,-74.00216345,E Wheelchair Child,N/A,"E Wheelchair Child, In Playground",Active
Hoover - Manton Playgrounds,40.71197987,-73.82137593,A,N/A,"A, In Playground",Active
Flushing Meadows Corona Park,40.7464955,-73.84193911,C,N/A,"C, Out in Open",Active
Haggerty Park,40.71327233,-73.75774153,D,N/A,"D, Near Ballfield",Active
Lozada Playground,40.80777968,-73.92503785,CS Metal,N/A,"CS Metal, In Playground",Active
Andrew Haswell Green Park,40.75934225,-73.95775137,F,N/A,"F, Out in Open",Active
Prospect Park,40.65223245,-73.97186762,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Coney Island Beach & Boardwalk,40.5734508,-73.97615204,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Reiff Playground,40.71883687,-73.90206339,C,N/A,"C, In Shade, Just Outside Playground",Active
Tappen Park,40.62675053,-74.0767707,E Wheelchair Child,N/A,"E Wheelchair Child, Out in Open",Active
Playground One Twenty Five CXXV,40.81048158,-73.9548677,A,N/A,"A, Near Ballfield",Active
Calvert Vaux Park,40.58778721,-73.99025622,E,N/A,"E, Under Tree, In Shade, Just Outside Playground",Active
Fox Playground,40.63266361,-73.92387868,CS Metal,N/A,"CS Metal, Under Tree, Out in Open, Just Outside Playground",Active
Willowbrook Park,40.60692384,-74.15489467,A,N/A,"A, Near Ballfield",Active
Kelly Park,40.60446268,-73.95789962,A,N/A,"A, Out in Open",Active
Dag Hammarskjold Plaza,40.75181109,-73.96802508,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Prospect Park,40.66339652,-73.97709124,E Wheelchair,N/A,"E Wheelchair, Out in Open, In Playground",Active
John Golden Park,40.77330172,-73.76971862,A,N/A,"A, Near Ballfield",Active
Flushing Meadows Corona Park,40.74093177,-73.84941232,D,N/A,"D, In Playground",Active
City Line Park,40.679433,-73.87622269,C,N/A,"C, In Shade, Near Ballfield",Active
Williamsbridge Oval,40.8780185,-73.87593103,Other,N/A,"Other, Out in Open",Active
Playground Sixty Two LXII,40.73621173,-73.85295455,C,N/A,"C, Near Ballfield",Active
Freshkills Park,40.56180333,-74.19474445,Pedestal,N/A,"Pedestal, Near Ballfield",Active
Alley Pond Park,40.74061089,-73.75015576,A,N/A,"A, Out in Open",Active
Central Park,40.78055636,-73.96888152,E Wheelchair,N/A,"E Wheelchair, Under Tree, Out in Open",Active
WNYC Transmitter Park,40.73010164,-73.96063472,Trough,N/A,"Trough, Out in Open, Just Outside Playground",Active
Inwood Hill Park,40.8672465,-73.92877309,B,N/A,"B, In Playground",Active
Little Flower Playground,40.71219481,-73.98857836,A,N/A,"A, Under Tree, Just Outside Playground, Near Ballfield",Active
St. Nicholas Playground North,40.81223838,-73.94698341,Bottle Filler High Low,N/A,"Bottle Filler High Low, Near Ballfield, Under Tree, Just Outside Playground",Active
Edmonds Playground,40.68894902,-73.97153221,C,N/A,"C, Out in Open, In Playground",Active
Pelham Bay Park,40.86966187,-73.79132387,C,N/A,"C, Under Tree",Active
Flushing Meadows Corona Park,40.74624861,-73.85044688,A,N/A,"A, Under Tree",Active
Cunningham Park,40.73609736,-73.76864162,A,N/A,"A, Out in Open, Near Ballfield",Active
Walker Park,40.64304857,-74.11022937,A,N/A,"A, Near Ballfield",Active
Louis Pasteur Park,40.76213589,-73.73492449,A,N/A,"A, In Playground",Active
Marine Park,40.60649552,-73.92637399,D,N/A,"D, In Playground",Active
Harlem Lane Playground,40.82530296,-73.93484302,A,N/A,"A, Under Tree, Near Ballfield, Just Outside Playground",Active
Central Park,40.79447917,-73.951319,B,N/A,"B, Out in Open",Active
Cambria Playground,40.68855903,-73.74243376,CS Concrete,N/A,"CS Concrete, In Playground",Active
Fulton Park,40.67965569,-73.93387377,D,N/A,D,Active
East Elmhurst Playground,40.76560679,-73.87144485,D,N/A,"D, Out in Open, Just Outside Playground",Active
Beach 9 Playground,40.59562736,-73.74468191,A,N/A,"A, In Playground",Active
Drew Playground,40.83315674,-73.90329276,C,N/A,"C, Just Outside Playground, Out in Open",Active
Montbellier Park,40.67393398,-73.75693441,F High Low,N/A,"F High Low, In Playground",Active
Central Park,40.78967091,-73.96567923,E Wheelchair Child,N/A,"E Wheelchair Child, In Playground",Active
Central Park,40.78431795,-73.95871027,Other,N/A,"Other, Out in Open",Active
Forest Park,40.70760185,-73.85113045,E High Low,N/A,"E High Low, In Playground",Active
McDonald Playground,40.6004972,-73.97214881,A,N/A,"A, Out in Open",Active
John Jay Park,40.76919941,-73.94897608,CS Concrete,N/A,"CS Concrete, Out in Open",Active
Alley Pond Park,40.74196809,-73.74119481,A,N/A,"A, In Shade, Just Outside Playground",Active
Pelham Bay Park,40.85821797,-73.80072518,A,N/A,"A, Near Ballfield",Active
Forest Park,40.70237776,-73.85462335,D,N/A,"D, Near Ballfield",Active
Coney Island Beach & Boardwalk,40.57505373,-73.9593516,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Flushing Meadows Corona Park,40.74459923,-73.83999897,A,N/A,"A, Under Tree",Active
Seth Low Playground/ Bealin Square,40.60791958,-73.98668548,F High Low,N/A,"F High Low, Out in Open",Active
Breukelen Ballfields,40.65404644,-73.89358896,A,N/A,"A, Under Tree, Out in Open, Near Ballfield",Active
Lindower Park,40.61240295,-73.91098259,E High Low,N/A,"E High Low, Out in Open, Just Outside Playground",Active
Nicholas Naquan Heyward Jr. Park,40.68485349,-73.98811396,C,N/A,"C, In Playground",Active
Clove Lakes Park,40.61826863,-74.10720055,Other,N/A,"Other, Near Ballfield",Active
Rochdale Park,40.67498479,-73.77358437,A,N/A,"A, Under Tree",Active
Flushing Meadows Corona Park,40.74546499,-73.84589339,A,N/A,"A, Out in Open",Active
Beatty Plaza,40.83157159,-73.90185665,C,N/A,"C, Under Tree, In Shade",Active
Owl's Head Park,40.6403237,-74.03484889,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Soundview Park,40.81797658,-73.87223463,Trough High Low,N/A,"Trough High Low, Near Ballfield",Active
Bridge Park 3,40.70045156,-73.98487309,A,N/A,"A, Out in Open",Active
Forest Park,40.70005152,-73.85825124,A,N/A,"A, In Shade",Active
Harris Park,40.87696554,-73.89263376,D,N/A,"D, Near Ballfield, Out in Open",Active
Rockaway Beach Boardwalk,40.58502514,-73.80955252,D,N/A,"D, Out in Open, Just Outside Playground",Active
Barrett Triangle,40.64182023,-74.07597009,D,N/A,"D, Out in Open",Active
Bush Terminal Park,40.65239023,-74.02009327,E Wheelchair,N/A,"E Wheelchair, Near Ballfield",Active
Renaissance Playground,40.82138179,-73.94146167,A,N/A,"A, Near Ballfield",Active
Van Dyke Playground,40.66445297,-73.90406953,A,N/A,"A, Under Tree, In Shade",Active
Flushing Meadows Corona Park,40.74313648,-73.84890736,A,N/A,"A, Under Tree",Active
Judge Moses Weinstein Playground,40.71850656,-73.8205169,A,N/A,"A, Near Ballfield",Active
Cunningham Park,40.73524065,-73.77179552,A,N/A,"A, Out in Open, Near Ballfield",Active
West Harlem Piers,40.81855728,-73.96132929,Other,N/A,"Other, Out in Open",Active
Laurelton Parkway,40.68488879,-73.72691452,C,N/A,"C, Out in Open",Active
Parade Ground,40.65098964,-73.96770986,Bottle Filler High Low,N/A,"Bottle Filler High Low, Under Tree, Near Ballfield",Active
Noble Playground,40.83764685,-73.8717537,C,N/A,"C, Near Ballfield",Active
Behagen Playground,40.82602052,-73.90124431,D,N/A,"D, Out in Open, Near Ballfield",Active
Belt Parkway/Shore Parkway,40.6198605,-73.89833648,D,N/A,"D, Out in Open, Near Ballfield",Active
John V. Lindsay East River Park,40.72520986,-73.97216228,E Wheelchair,N/A,"E Wheelchair, Near Ballfield",Active
Jackie Robinson Park,40.82401769,-73.9427419,A,N/A,"A, In Shade, Just Outside Playground",Active
Sutter Ballfields,40.67080074,-73.88783072,A,N/A,"A, Near Ballfield",Active
Red Hook Recreation Area,40.67270687,-74.00802778,A,N/A,"A, Out in Open",Active
Mother Cabrini Park,40.68432566,-74.00511839,A,N/A,"A, In Playground",Active
Stockton Playground,40.69722354,-73.94881418,A,N/A,"A, Under Tree, In Playground",Active
Liotti Ikefugi Playground,40.63886926,-74.08391609,A,N/A,"A, In Shade",Active
Soundview Park,40.81757771,-73.87881497,A,N/A,"A, Near Ballfield",Active
Martin Luther King Jr. Playground,40.7998973,-73.95071798,Bottle Filler High Low,N/A,"Bottle Filler High Low, Near Ballfield, In Playground",Active
Central Park,40.79099635,-73.95926554,B,N/A,"B, In Playground, Out in Open",Active
Seton Park,40.8854385,-73.91610626,A,N/A,"A, Out in Open",Active
Rev J Polite Playground,40.82676732,-73.89772826,A,N/A,"A, In Playground",Active
Grassmere Playground,40.59916978,-73.75850737,Bottle Filler High Low,N/A,"Bottle Filler High Low, Near Ballfield",Active
Rockaway Beach Boardwalk,40.58620069,-73.8055418,A,N/A,"A, Out in Open",Active
Kissena Corridor Park,40.7446954,-73.7876822,C,N/A,"C, In Playground",Active
Thomas Paine Park,40.71487722,-74.00188408,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Betsy Head Park,40.66422521,-73.91169534,F High Low,N/A,"F High Low, Just Outside Playground",Active
Railroad Playground,40.64924213,-73.91399899,CS Concrete,N/A,"CS Concrete, Out in Open, In Playground",Active
Hamilton Metz Field,40.66239937,-73.94059489,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Crotona Park,40.83909549,-73.89409489,E Wheelchair Dog,N/A,"E Wheelchair Dog, Out in Open",Active
Galapo Playground,40.59788153,-73.94666789,Other,N/A,"Other, In Playground",Active
Frank D. O'Connor Playground,40.74411284,-73.88641265,D,N/A,"D, Just Outside Playground",Active
Sol Bloom Playground,40.7894089,-73.96893357,D,N/A,"D, Near Ballfield, In Playground",Active
Marion Hopkinson Playground,40.68166702,-73.91357195,C,N/A,"C, Under Tree, In Shade",Active
Williamsbridge Oval,40.87772861,-73.87851015,A,N/A,"A, Just Outside Playground, Under Tree",Active
Coney Island Beach & Boardwalk,40.57240738,-73.98672289,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Hinton Park,40.75548806,-73.85482948,C,N/A,"C, Near Ballfield",Active
Crosson Green,40.74234315,-73.89665258,A,N/A,"A, Out in Open",Active
Bellevue South Park,40.74025276,-73.97805468,E Wheelchair Dog,N/A,"E Wheelchair Dog, In Playground",Active
Garibaldi Playground,40.60899815,-74.0000558,D,N/A,"D, Out in Open, Just Outside Playground",Active
Gorman Park,40.85530991,-73.93218539,E Wheelchair,N/A,"E Wheelchair, Under Tree",Active
Red Hook Recreation Area,40.67195826,-74.0056088,A,N/A,"A, Out in Open, Near Ballfield",Active
100% Playground,40.64654091,-73.89937817,A,N/A,"A, Under Tree, Out in Open, In Shade, Near Ballfield",Active
Breukelen Ballfields,40.65048657,-73.89107844,C,N/A,"C, Out in Open, Near Ballfield",Active
Slope Park,40.66117749,-73.98976448,D,N/A,"D, In Playground",Active
Joseph Austin Playground,40.71564007,-73.80093507,A,N/A,"A, In Playground",Active
Devoe Park,40.86378086,-73.90494026,C,N/A,"C, Out in Open, In Playground",Active
Herman Dolgon Playground,40.59821859,-73.93942568,C,N/A,"C, In Playground",Active
Silver Lake Park,40.62682071,-74.0942199,A,N/A,"A, Under Tree",Active
Tompkins Square Park,40.72566964,-73.98157138,B,N/A,"B, Under Tree, Just Outside Playground",Active
Brooklyn Bridge Park,40.69370443,-74.00279512,Other,N/A,"Other, Out in Open",Active
Osborn Playground,40.65593561,-73.90613667,D,N/A,"D, Out in Open",Active
NYC AIDS Memorial Park at St. Vincent’s Triangle,40.73734333,-74.00122646,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Stanley Isaacs Playground,40.78326493,-73.94439435,CS Concrete,N/A,"CS Concrete, Out in Open",Active
John V. Lindsay East River Park,40.71281683,-73.97701037,E Wheelchair,N/A,"E Wheelchair, Near Ballfield",Active
Lost Battalion Hall Recreation Center,40.73207419,-73.86543695,E Wheelchair,N/A,"E Wheelchair, Under Tree",Active
Washington Square Park,40.73154825,-73.99775063,E Wheelchair,N/A,"E Wheelchair, Under Tree, Just Outside Playground",Active
McCarren Park,40.7209331,-73.95011025,A,N/A,"A, Under Tree, In Playground",Active
Frost Playground,40.71879752,-73.93922233,C,N/A,"C, Under Tree, In Shade, In Playground",Active
Flushing Meadows Corona Park,40.76093416,-73.8471401,B,N/A,"B, Under Tree",Active
Franklin D. Roosevelt Boardwalk and Beach,40.574242,-74.08306355,A,N/A,"A, Near Ballfield",Active
Riverside Park,40.79360002,-73.97764811,A,N/A,"A, Just Outside Playground",Active
Randall's Island Park,40.79346132,-73.92399684,E Wheelchair Child,N/A,"E Wheelchair Child, Near Ballfield",Active
Fort Hamilton Athletic Field,40.62683899,-74.03627062,A,N/A,"A, Near Ballfield",Active
Prospect Park,40.65989479,-73.96444483,B,N/A,"B, Out in Open",Active
Stapleton Esplanade,40.62819033,-74.0725951,Trough,N/A,"Trough, Out in Open",Active
Randall's Island Park,40.80006575,-73.92298915,Pedestal,N/A,"Pedestal, Out in Open",Active
Imagination Playground,40.70618685,-74.00396404,E Wheelchair Child,N/A,"E Wheelchair Child, Out in Open",Active
Harris Park,40.87621864,-73.89080259,D,N/A,"D, Near Ballfield, Out in Open",Active
Beach 30th Street Playground,40.59252806,-73.76080959,D,N/A,"D, In Playground",Active
Juniper Valley Park,40.7197793,-73.88258463,E Wheelchair,N/A,"E Wheelchair, Near Ballfield",Active
Horseshoe Playground,40.8240174,-73.8976764,C,N/A,"C, In Playground",Active
Frank Principe Park,40.72698174,-73.90459858,A,N/A,"A, Under Tree",Active
Saratoga Ballfields,40.67509168,-73.91441286,F,N/A,"F, Just Outside Playground",Active
Ravenswood Playground,40.76227786,-73.93567654,A,N/A,"A, In Playground",Active
St. John's Recreation Center,40.67415581,-73.93458907,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Parade Ground,40.64896342,-73.96990722,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Grand Central Parkway Extension,40.76226435,-73.85926692,B,N/A,"B, Out in Open",Active
Rockaway Beach Boardwalk,40.58042325,-73.82619448,Trough,N/A,"Trough, Out in Open",Active
Norelli-Hargreaves Playground,40.68978653,-73.80848167,A,N/A,"A, Out in Open",Active
McKinley Park,40.62520542,-74.01762954,F High Low,N/A,"F High Low, Near Ballfield",Active
Central Park,40.76624328,-73.97638599,B,N/A,"B, Out in Open",Active
Bartlett Playground,40.70100544,-73.94584926,A,N/A,"A, Under Tree, Just Outside Playground",Active
Colden Playground,40.77051925,-73.82771604,D,N/A,"D, Near Ballfield",Active
Cunningham Park,40.72868871,-73.77629127,C,N/A,"C, Near Ballfield, Out in Open",Active
Franklin D. Roosevelt Boardwalk and Beach,40.57867167,-74.07800479,E Wheelchair Child,N/A,"E Wheelchair Child, Out in Open",Active
Murphy Brothers Playground,40.73005177,-73.97331675,A,N/A,"A, Just Outside Playground, Near Ballfield",Active
Highbridge Park,40.83162397,-73.94016142,D,N/A,"D, Under Tree, In Playground",Active
Bronx Park,40.85840865,-73.87167976,A,N/A,"A, Near Ballfield",Active
Franklin D. Roosevelt Boardwalk and Beach,40.56864764,-74.09163387,A,N/A,"A, Under Tree",Active
Devoe Park,40.86349418,-73.90550948,D,N/A,"D, Out in Open",Active
Hell's Kitchen Park,40.76307689,-73.99259463,C,N/A,"C, Under Tree, In Playground, Near Ballfield",Active
Hamilton Fish Park,40.72024247,-73.98115729,B,N/A,"B, In Playground",Active
Alexander Hamilton Playground,40.82323986,-73.95131047,D,N/A,"D, Under Tree, In Playground",Active
Brownsville Playground,40.65669558,-73.90229796,D,N/A,"D, Near Ballfield, Out in Open",Active
Bryan Park,40.86214059,-73.89400367,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Ditmars Park,40.77129606,-73.90757561,A,N/A,"A, In Playground",Active
Sunset Park,40.64766613,-74.00379331,E Wheelchair,N/A,"E Wheelchair, In Playground",Active
Flushing Meadows Corona Park,40.74707379,-73.83988417,C,N/A,"C, Out in Open",Active
Daniel M. O'Connell Playground,40.70023823,-73.75809139,D,N/A,"D, Just Outside Playground",Active
Barretto Point Park,40.80584719,-73.88842057,C,N/A,"C, In Shade",Active
Bensonhurst Park,40.59704708,-74.00146714,A,N/A,"A, Near Ballfield, Out in Open",Active
Playground 174,40.83428868,-73.87794683,A,N/A,"A, In Playground, Under Tree",Active
Colonel David Marcus Playground,40.60945798,-73.97021425,C,N/A,"C, Under Tree, In Shade",Active
Cunningham Park,40.7393359,-73.76531336,A,N/A,"A, In Playground, Under Tree",Active
Van Cortlandt Park,40.89106892,-73.89282578,D,N/A,"D, Under Tree",Active
St. Catherine's Park,40.76504993,-73.95891246,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Central Park,40.78255068,-73.96679287,E Wheelchair Dog,N/A,"E Wheelchair Dog, Out in Open",Active
Dry Dock Playground,40.72535513,-73.97523816,A,N/A,"A, Near Ballfield, Just Outside Playground",Active
Castlewood Playground,40.74971618,-73.72085486,A,N/A,"A, Out in Open",Active
Little Bay Park,40.78962276,-73.79030536,C,N/A,"C, Out in Open",Active
Flushing Meadows Corona Park,40.74125044,-73.84888312,D,N/A,"D, In Playground",Active
Van Cortlandt Park,40.88989062,-73.88120636,A,N/A,A,Active
Coney Island Beach & Boardwalk,40.57313124,-73.97910825,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Van Cortlandt Park,40.88518938,-73.89068331,CS Metal,N/A,"CS Metal, In Playground, Under Tree",Active
Shore Park and Parkway,40.63142967,-74.0397795,E Wheelchair,N/A,"E Wheelchair, Just Outside Playground",Active
Harlem River Park,40.8073332,-73.93456203,B,N/A,"B, Near Ballfield, Under Tree",Active
Morningside Park,40.80822603,-73.95671533,B,N/A,"B, Near Ballfield",Active
Irving Square Park,40.69214537,-73.90939175,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Park Slope Playground,40.67676929,-73.97853357,D,N/A,"D, In Playground",Active
John J Carty Park,40.61499007,-74.02885313,A,N/A,"A, In Playground",Active
Clove Lakes Park,40.61852606,-74.10638743,A,N/A,"A, In Playground",Active
Battery Park City,40.70989226,-74.01814036,Other,N/A,"Other, Under Tree",Active
The Battery,40.70181716,-74.0147265,Trough,N/A,"Trough, Under Tree",Active
Betsy Head Park,40.66348032,-73.91243853,A,N/A,"A, Out in Open",Active
Sperandeo Brothers Playground,40.67766765,-73.88424249,E Wheelchair Child,N/A,"E Wheelchair Child, Out in Open, In Playground",Active
City Line Park,40.67889237,-73.87419005,C,N/A,"C, Under Tree, In Playground",Active
Brower Park,40.67387898,-73.9438047,D,N/A,"D, Out in Open",Active
Slattery Playground,40.85743477,-73.89862509,A,N/A,"A, Out in Open",Active
Grand Playground,40.85598568,-73.90737764,F High Low,N/A,"F High Low, Out in Open, In Playground",Active
Alley Pond Park,40.74192488,-73.74872234,A,N/A,"A, Near Ballfield",Active
Alley Pond Park,40.74154916,-73.74016082,A,N/A,"A, Out in Open",Active
Stars & Stripes Playground,40.88591344,-73.83954454,C,N/A,"C, Under Tree, In Shade",Active
Potomac Playground,40.68207627,-73.94426913,CS Concrete,N/A,"CS Concrete, In Playground",Active
Willowbrook Park,40.60560057,-74.15486449,A,N/A,"A, Near Ballfield",Active
Crotona Park,40.8407674,-73.8975271,A,N/A,"A, Out in Open, In Playground",Active
Prospect Park,40.66221567,-73.9745978,B,N/A,"B, Out in Open, Near Ballfield",Active
Maurice A Fitzgerald Playground,40.690242,-73.83958837,A,N/A,"A, In Playground",Active
Kaiser Park,40.5784537,-73.99617808,C,N/A,"C, Out in Open, In Playground",Active
Coney Island Beach & Boardwalk,40.57349472,-73.97574,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Harold Schneiderman Playground,40.66470181,-73.85043769,Other,N/A,"Other, Just Outside Playground",Active
Riverside Park,40.80177439,-73.97185761,B,N/A,"B, Under Tree, Out in Open",Active
Crack Is Wack Playground,40.80441402,-73.93216995,D,N/A,"D, Under Tree, Near Ballfield",Active
Harold Ickes Playground,40.68270015,-74.00586557,A,N/A,"A, In Playground",Active
Mount Prospect Park,40.67162886,-73.96738303,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
East Elmhurst Playground,40.76610829,-73.87104876,D,N/A,"D, Near Ballfield",Active
Rockaway Beach and Boardwalk,40.58847925,-73.78967419,Trough,N/A,"Trough, Out in Open",Active
Dyker Beach Park,40.60651037,-74.02024421,C,N/A,"C, Near Ballfield",Active
Thomas Greene Playground,40.68007126,-73.98464986,D,N/A,"D, Just Outside Playground",Active
Breukelen Ballfields,40.65144568,-73.89065753,C,N/A,"C, Out in Open, Near Ballfield, Under Tree",Active
Washington Park,40.67227163,-73.98546662,C,N/A,"C, In Playground",Active
Ambrosini Field,40.84429733,-73.78393885,A,N/A,"A, Under Tree",Active
Recreational Area,40.82842702,-73.95292826,A,N/A,"A, Near Ballfield",Active
Randall's Island Park,40.79395531,-73.92116422,Pedestal,N/A,"Pedestal, Near Ballfield",Active
Matthew P. Sapolin Playground,40.77722615,-73.9838499,D,N/A,"D, Near Ballfield, In Playground",Active
Central Park,40.76945635,-73.97058172,Other,N/A,"Other, Out in Open",Active
Central Park,40.7698645,-73.97800876,E Wheelchair Dog,N/A,"E Wheelchair Dog, Near Ballfield",Active
Carver Playground,40.68043552,-73.92045505,C,N/A,"C, In Playground, Under Tree",Active
Highland Park,40.68462808,-73.88507161,D,N/A,"D, Near Ballfield",Active
Colgate Close,40.82358615,-73.88138169,C,N/A,"C, In Playground, Under Tree",Active
Flushing Meadows Corona Park,40.74806488,-73.84140994,A,N/A,"A, Under Tree",Active
Prall Playground,40.62866113,-74.11790868,C,N/A,"C, Near Ballfield",Active
Carl Schurz Park,40.77572134,-73.94301798,E Wheelchair Dog,N/A,"E Wheelchair Dog, Under Tree",Active
Lillian D Wald Playground,40.71195871,-73.9839729,E Wheelchair,N/A,"E Wheelchair, Near Ballfield, In Playground",Active
Rainey Park,40.818126,-73.89814583,B,N/A,"B, Under Tree",Active
Ocean Hill Playground,40.67415189,-73.91235106,A,N/A,"A, Near Ballfield",Active
Willis Playground,40.81090407,-73.92328526,C,N/A,"C, Out in Open, Near Ballfield",Active
Latimer Playground,40.69649198,-73.78598137,D,N/A,"D, Under Tree, In Playground",Active
Franklin D. Roosevelt Boardwalk and Beach,40.56914349,-74.09036734,A,N/A,"A, Out in Open",Active
Russell Pedersen Playground,40.62641692,-74.03622127,E Wheelchair,N/A,"E Wheelchair, In Playground",Active
Grand Central Parkway Extension,40.73715595,-73.84565644,D,N/A,"D, Out in Open, Just Outside Playground",Active
Alley Athletic Playground,40.73931457,-73.73699508,A,N/A,"A, Near Ballfield",Active
Joseph C. Sauer Park,40.72835052,-73.97992966,A,N/A,"A, Under Tree, In Shade, In Playground",Active
Henry Hudson Park,40.88100712,-73.92021296,D,N/A,"D, Out in Open, In Shade",Active
Powell Playground,40.67129567,-73.90487154,C,N/A,"C, Under Tree, In Shade, Out in Open",Active
Forest Park,40.70140352,-73.85314493,A,N/A,"A, In Shade",Active
Martin Luther Playground,40.64580478,-74.01949894,A,N/A,"A, In Playground",Active
Starr Playground,40.70981657,-73.91776797,D,N/A,"D, Near Ballfield",Active
Flushing Meadows Corona Park,40.7445506,-73.8398732,A,N/A,"A, Under Tree",Active
Midland Field,40.57670717,-74.09898541,A,N/A,"A, Near Ballfield",Active
Gravesend Park,40.62372549,-73.98377307,C,N/A,"C, In Playground, Out in Open",Active
Wards Island Park,40.78153702,-73.92636639,Bottle Filler Fountain,N/A,"Bottle Filler Fountain, Out in Open",Active
Bennett Park,40.85315472,-73.9379461,A,N/A,"A, In Playground",Active
Rockaway Beach Boardwalk,40.58543674,-73.8087969,A,N/A,"A, In Playground",Active
Haffen Park,40.87382501,-73.83963367,C,N/A,"C, Under Tree, In Shade",Active
West Playground,40.5873306,-73.96980177,E Wheelchair,N/A,"E Wheelchair, Out in Open, Near Ballfield",Active
Greenwood Playground,40.65042648,-73.97651829,C,N/A,"C, In Playground",Active
Coney Island Beach & Boardwalk,40.57290706,-73.98121394,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Flushing Meadows Corona Park,40.74721807,-73.83635227,A,N/A,"A, Under Tree",Active
Alice Austen Park,40.61570675,-74.06308064,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Dyker Beach Park,40.61272677,-74.01299984,A,N/A,"A, In Playground",Active
CPL. Thompson Park,40.63895862,-74.11853163,A,N/A,"A, Near Ballfield",Active
Poppenhusen Playground,40.78147982,-73.84470513,Trough,N/A,"Trough, In Playground",Active
Grant Park,40.8377816,-73.91180177,C,N/A,"C, Under Tree, In Shade",Active
Central Park,40.76843173,-73.97765509,B,N/A,"B, Out in Open, In Playground",Active
Rockaway Beach Boardwalk,40.58489426,-73.80928066,Trough,N/A,"Trough, Out in Open",Active
Mafera Park,40.70639336,-73.89095839,A,N/A,"A, In Playground",Active
Crotona Park,40.83513635,-73.89616854,CS Concrete,N/A,"CS Concrete, Just Outside Playground",Active
Rappaport Playground,40.63705176,-74.00122248,C,N/A,"C, Out in Open, In Playground",Active
Collect Pond Park,40.71602107,-74.00172416,F,N/A,"F, Out in Open",Active
Forest Park,40.70162174,-73.8533286,C,N/A,"C, Near Ballfield, Just Outside Playground",Active
Astoria Heights Playground,40.76065784,-73.91140938,Bottle Filler High Low,N/A,"Bottle Filler High Low, Just Outside Playground",Active
Red Hook Recreation Area,40.67120225,-74.00241136,A,N/A,"A, Out in Open",Active
Roebling Playground,40.70646866,-73.96185232,A,N/A,"A, Under Tree, In Shade",Active
Dean Playground,40.68064959,-73.97294549,D,N/A,"D, Out in Open",Active
Coney Island Beach & Boardwalk,40.57151957,-73.99179347,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Markham Playground,40.62414998,-74.14577997,A,N/A,"A, Out in Open",Active
Battery Park City Parks,40.70931425,-74.01561828,Other,N/A,"Other, In Shade, Near Ballfield, Just Outside Playground",Active
Francis Lewis Park,40.79626529,-73.82558017,D,N/A,"D, Under Tree",Active
